# Placementy YT kanałów w Demand Gen (26.04–11.06) – kandydaci do wykluczenia
# Wygenerowane 11.06 na review 12–14.06. NIC nie wykluczone – decyzja po danych konwersji.
# channel_url	name	impressions	clicks	cost_pln
youtube.com/channel/UCzTFc6-iB68HTx3syrjTN_w	Wojan Games	46586	2131	235
youtube.com/channel/UCqi4vmSjAIFdDnwjSFE6CGA	Czajnik	40336	1596	181
youtube.com/channel/UClFiR6dnvdeTYJ_P_LlOWiA	Luczek 🐶	28354	1383	154
youtube.com/channel/UC5OmAy7nQNIYIh5XwPDCJ2g	Wojan PLUS	26142	1169	135
youtube.com/channel/UCqinclq78suYaV18R1jJijg	Zipek	16566	802	85
youtube.com/channel/UCytzcCchL4RrGj1rlUWVFbQ	Tritsus	12989	537	64
youtube.com/channel/UCo9YmZIp3fBlPUdGOagryQA	SmileSlow	12580	660	70
youtube.com/channel/UCy_HunYzxAz77hyW_f3GGrA	Palion Games	12443	571	61
youtube.com/channel/UCeT1CAJARncDwNfFUL9vaQw	Palion Games Plus	12074	515	57
youtube.com/channel/UCiJ9cC9-PE6AmcVgdglTQcg	Skrimi	11341	503	56
youtube.com/channel/UCKcqpQCq5LmzMpACxItp8WQ	Cebulsonn Plus	11122	567	57
youtube.com/channel/UCUVzqGW__dTmjpSFkj0VT8g	Essa Tim	10970	550	57
youtube.com/channel/UCHmYIrUDshV9_gUl_u_nEKg	SharikanVR	9666	390	47
youtube.com/channel/UC4MO_OktH6oXB-oCI7yjTkA	Palion	8432	380	41
youtube.com/channel/UChiPTtUwLxeT67WFbpHXKKA	Luczek Roblox	7995	393	42
youtube.com/channel/UCoy2tR7liTWYn5mpXyfmNcQ	SmileX	6940	401	40
youtube.com/channel/UCiqs_myNbkptXA_uiaGI3eg	Pimpekk	6358	325	34
youtube.com/channel/UCn1WtBUGqRy0hS7X3zcH6lw	Admiros	6074	236	27
youtube.com/channel/UCAyUEt7fXLrJXf0sEQpNTUA	Millo	5853	204	25
youtube.com/channel/UCvqBqDpuUyJAWCqr4KE2HSw	PatiX	5727	267	30
youtube.com/channel/UCc282c_TN8xIba_Z6GaDnQw	Telewizja Republika	5652	140	23
youtube.com/channel/UCdojYcgHh4FWDJynoYMBzMg	Werka Aferka	5591	220	26
youtube.com/channel/UCyagEfIN1okQ-s996XAqCFQ	Zhong	5245	260	31
youtube.com/channel/UCySaIBnklc7m51jV9Dfm-5w	Farellski	4745	167	21
youtube.com/channel/UCV7Nq0ZZY4rA9jf3QKThCXQ	Pimpekk Roblox	4350	218	23
youtube.com/channel/UCjh-4kZg4kyPBEiR8-ENAwg	Nika	4335	209	22
youtube.com/channel/UCuDab-M7mES8VgiBEmkylpw	SmileSlow Games	4177	205	24
youtube.com/channel/UCDKJ-vbfRSg7dpkuBR1m_hg	BAZA	3914	153	16
youtube.com/channel/UCsfTTF7fliLdkcS_muC7dvQ	Cebulsonn i Karolcia	3572	182	19
youtube.com/channel/UCxm5_Y8j9Bn7LxrSHMMJ0Pw	Аришнев	3334	188	20
youtube.com/channel/UClhEl4bMD8_escGCCTmRAYg	Kanał Zero	3324	104	20
youtube.com/channel/UClwm_QH5pl3mMDV5B7syqHw	Muffinaart	3220	143	16
youtube.com/channel/UCkNOjcTcgLaNL0-XNoe4gtw	Polsat	3135	98	14
youtube.com/channel/UCKF2QObAt1a9u8CZEZhcOpQ	Mr G	3128	132	15
youtube.com/channel/UCGp5Ch-aW_Lm8jtJzz0bJDg	Palion Roblox	3105	140	15
youtube.com/channel/UCHaiXh5D5KPB6d1pHihH7uw	Ziko	3097	134	15
youtube.com/channel/UChKSu6JYFHk0uv_QZo2fbDg	Sebek	3096	167	18
youtube.com/channel/UCveJnHQxFeC9fN-_1r6C3SQ	Doro	2920	142	16
youtube.com/channel/UCn-JnDerdA0gKOEDzVWkHIw	PatiX PLUS	2901	137	15
youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA	MrBeast	2809	112	12
youtube.com/channel/UCwFbsz6FYfA2_H4GmjpEg5w	Gurniczy	2757	131	14
youtube.com/channel/UCo8faMTOtdcp6VE1fHSjzeA	Dżejdżejka	2750	112	12
youtube.com/channel/UCryy2m8BMbdQDluyjE-7EWg	JACK FROST (Bebech)	2601	107	13
